Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,4,4,10
1,RE_PV_Rooftop_Lim,4,4,4
2,RE_PV_Openfield_Lim,4,4,4
3,RE_WIND_Onshore_Lim,4,4,4
4,RE_WIND_Offshore_Lim,4,4,4
5,PP_CO2,4,4,4
6,BESS,4,4,4
7,EL_to_HTH,4,4,4
8,EL_to_NH3,4,4,4
9,NH3_Storage,4,4,4
10,NH3_to_EL,4,4,4
11,NH3_to_HTH,4,4,4
12,FF_to_HTH,4,4,4
13,EL_Demand,4,4,4
14,HTH_Demand,4,4,4
15,RE_PV_Rooftop_Lim,1,1,1
16,RE_PV_Openfield_Lim,1,1,1
17,RE_WIND_Onshore_Lim,1,1,1
18,RE_WIND_Offshore_Lim,1,1,1
19,PP_CO2,1,1,1
20,BESS,1,1,1
21,EL_to_HTH,1,1,1
22,EL_to_NH3,1,1,1
23,NH3_Storage,1,1,1
24,NH3_to_EL,1,1,1
25,NH3_to_HTH,1,1,1
26,FF_to_HTH,1,1,1
27,EL_Demand,1,1,1
28,HTH_Demand,1,1,1
29,NH3_Transport,4,1,0
30,EL_Transport,4,1,0
