"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Oct 2020","1","62.59","0.00","5279.770","0.000"
"USEP","01 Oct 2020","2","60.06","0.00","5181.702","0.000"
"USEP","01 Oct 2020","3","59.68","0.00","5097.585","0.000"
"USEP","01 Oct 2020","4","53.34","0.00","5026.618","0.000"
"USEP","01 Oct 2020","5","57.66","0.00","4961.953","0.000"
"USEP","01 Oct 2020","6","55.56","0.00","4908.889","0.000"
"USEP","01 Oct 2020","7","55.73","0.00","4871.326","0.000"
"USEP","01 Oct 2020","8","55.51","0.00","4865.222","0.000"
"USEP","01 Oct 2020","9","53.48","0.00","4863.145","0.000"
"USEP","01 Oct 2020","10","55.65","0.00","4888.214","0.000"
"USEP","01 Oct 2020","11","55.81","0.00","4967.883","0.000"
"USEP","01 Oct 2020","12","58.48","0.00","5123.628","0.000"
"USEP","01 Oct 2020","13","58.48","0.00","5307.254","0.000"
"USEP","01 Oct 2020","14","58.55","0.00","5480.727","0.000"
"USEP","01 Oct 2020","15","57.23","0.00","5667.530","0.000"
"USEP","01 Oct 2020","16","58.60","0.00","5893.009","0.000"
"USEP","01 Oct 2020","17","57.27","0.00","6111.018","0.000"
"USEP","01 Oct 2020","18","60.49","0.00","6264.685","0.000"
"USEP","01 Oct 2020","19","66.87","0.00","6364.483","0.000"
"USEP","01 Oct 2020","20","68.15","0.00","6419.197","0.000"
"USEP","01 Oct 2020","21","66.93","0.00","6470.915","0.000"
"USEP","01 Oct 2020","22","63.55","0.00","6494.329","0.000"
"USEP","01 Oct 2020","23","60.54","0.00","6447.536","0.000"
"USEP","01 Oct 2020","24","59.88","0.00","6407.026","0.000"
"USEP","01 Oct 2020","25","58.62","0.00","6346.302","0.000"
"USEP","01 Oct 2020","26","58.57","0.00","6302.601","0.000"
"USEP","01 Oct 2020","27","58.58","0.00","6356.784","0.000"
"USEP","01 Oct 2020","28","58.58","0.00","6386.366","0.000"
"USEP","01 Oct 2020","29","59.93","0.00","6411.325","0.000"
"USEP","01 Oct 2020","30","59.92","0.00","6412.408","0.000"
"USEP","01 Oct 2020","31","58.59","0.00","6392.255","0.000"
"USEP","01 Oct 2020","32","58.59","0.00","6382.767","0.000"
"USEP","01 Oct 2020","33","58.59","0.00","6357.291","0.000"
"USEP","01 Oct 2020","34","58.57","0.00","6334.141","0.000"
