country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,technology_capacity
CO,PE,,,12.5,0.0,,RE_PV_Rooftop_Lim_[CO],0.0
CO,PE,,,12.5,0.5,,RE_PV_Openfield_Lim_[CO],29.5
CO,PE,,,12.5,3.1,,RE_WIND_Onshore_Lim_[CO],86.7
CO,PE,,,12.5,0.0,,RE_WIND_Offshore_Lim_[CO],0.0
CO,PE,,,12.5,0.6,,PP_CO2_[CO],9.2
CO,PE,,,12.5,0.4,,BESS_[CO],21.0
CO,PE,,,12.5,0.1,,EL_to_HTH_[CO],12.7
CO,PE,,,12.5,0.0,,EL_to_NH3_[CO],0.0
CO,PE,,,12.5,0.0,,NH3_Storage_[CO],0.0
CO,PE,,,12.5,0.0,,NH3_to_EL_[CO],0.0
CO,PE,,,12.5,0.0,,NH3_to_HTH_[CO],0.0
CO,PE,,,12.5,0.6,,FF_to_HTH_[CO],12.5
CO,PE,,,12.5,0.0,,EL_Demand_[CO],33.0
CO,PE,,,12.5,0.0,,HTH_Demand_[CO],12.9
CO,PE,,,12.5,0.0,,RE_PV_Rooftop_Lim_[PE],0.0
CO,PE,,,12.5,0.2,,RE_PV_Openfield_Lim_[PE],11.7
CO,PE,,,12.5,2.4,,RE_WIND_Onshore_Lim_[PE],66.9
CO,PE,,,12.5,0.0,,RE_WIND_Offshore_Lim_[PE],0.0
CO,PE,,,12.5,0.7,,PP_CO2_[PE],7.5
CO,PE,,,12.5,0.4,,BESS_[PE],22.3
CO,PE,,,12.5,0.1,,EL_to_HTH_[PE],5.6
CO,PE,,,12.5,0.0,,EL_to_NH3_[PE],0.0
CO,PE,,,12.5,0.0,,NH3_Storage_[PE],0.0
CO,PE,,,12.5,0.0,,NH3_to_EL_[PE],0.0
CO,PE,,,12.5,0.0,,NH3_to_HTH_[PE],0.0
CO,PE,,,12.5,0.5,,FF_to_HTH_[PE],5.6
CO,PE,,,12.5,0.0,,EL_Demand_[PE],19.3
CO,PE,,,12.5,0.0,,HTH_Demand_[PE],5.7
CO,PE,,,3.1,0.0,,RE_PV_Rooftop_Lim_[CO],0.0
CO,PE,,,3.1,0.6,,RE_PV_Openfield_Lim_[CO],36.2
CO,PE,,,3.1,3.9,,RE_WIND_Onshore_Lim_[CO],109.0
CO,PE,,,3.1,0.0,,RE_WIND_Offshore_Lim_[CO],0.0
CO,PE,,,3.1,0.3,,PP_CO2_[CO],5.3
CO,PE,,,3.1,0.4,,BESS_[CO],24.0
CO,PE,,,3.1,0.1,,EL_to_HTH_[CO],12.7
CO,PE,,,3.1,0.1,,EL_to_NH3_[CO],1.5
CO,PE,,,3.1,0.1,,NH3_Storage_[CO],7.4
CO,PE,,,3.1,0.0,,NH3_to_EL_[CO],0.1
CO,PE,,,3.1,0.0,,NH3_to_HTH_[CO],1.1
CO,PE,,,3.1,0.3,,FF_to_HTH_[CO],10.4
CO,PE,,,3.1,0.0,,EL_Demand_[CO],33.0
CO,PE,,,3.1,0.0,,HTH_Demand_[CO],12.9
CO,PE,,,3.1,0.0,,RE_PV_Rooftop_Lim_[PE],0.0
CO,PE,,,3.1,0.4,,RE_PV_Openfield_Lim_[PE],22.9
CO,PE,,,3.1,2.8,,RE_WIND_Onshore_Lim_[PE],78.3
CO,PE,,,3.1,0.0,,RE_WIND_Offshore_Lim_[PE],0.0
