Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time,Asset_Type
0,EL_Demand,0,,0,96,1,,0
1,HTH_Demand,0,,0,96,1,,0
2,EL_to_HTH,0,,0,96,1,,0
3,H2_to_HTH,0,,0,96,1,,0
4,H2_to_EL,0,,0,96,1,,0
5,EL_to_H2,0,,0,96,1,,0
6,BESS,0,,0,96,1,,0
7,H2_Storage,0,,0,96,1,,0
8,EL_to_H2,1,,0,96,1,,0
9,BESS,1,,0,96,1,,0
10,H2_Storage,1,,0,96,1,,0
11,EL_to_H2,2,,0,96,1,,0
12,BESS,2,,0,96,1,,0
13,H2_Storage,2,,0,96,1,,0
14,EL_to_H2,3,,0,96,1,,0
15,BESS,3,,0,96,1,,0
16,H2_Storage,3,,0,96,1,,0
17,EL_Transport,0,1,0,96,1,,0
18,EL_Transport,1,0,0,96,1,,0
19,H2_Transport,1,0,0,96,1,,0
20,EL_Transport,0,2,0,96,1,,0
21,EL_Transport,2,0,0,96,1,,0
22,H2_Transport,2,0,0,96,1,,0
23,EL_Transport,0,3,0,96,1,,0
24,EL_Transport,3,0,0,96,1,,0
25,H2_Transport,3,0,0,96,1,,0
26,,,,0,96,1,,0
27,,,,0,96,1,,0
28,,,,0,96,1,,0
29,,,,0,96,1,,0
30,,,,0,96,1,,0
31,,,,0,96,1,,0
32,,,,0,96,1,,0
33,,,,0,96,1,,0
34,,,,0,96,1,,0
35,,,,0,96,1,,0
36,,,,0,96,1,,0
37,,,,0,96,1,,0
38,,,,0,96,1,,0
