,lat,lon,lat_offshore,lon_offshore
SGP,1.28057,103.86515,0,0
IDN,-6.16065,106.92865,0,0
MYS,3.15839,101.68596,0,0
BRN,4.8928,114.92675,0,0
KHM,11.53412,104.9155,0,0
MMR,16.8886,96.1656,0,0
PHL,14.59466,120.98968,0,0
THA,13.78118,100.58329,0,0
VNM,10.76226,106.62206,0,0
LAO,17.97899,102.63012,0,0
AUS,-20.73402,116.83925,-37.6857,128.89436
SAU,26.41963,50.10169,28.54788,49.73009
IND,13.12489,80.28511,12.2349,82.23964
ARE,25.2048,56.32768,24.58897,53.541805
MAR,34.06922,-6.82449,33.55,-10.1464
KEN,-1.3206,36.82,-3.73176,40.753896
ZAF,-25.79543,28.22008,-36.10801,22.13085
KOR,37.56243,126.99451,34.36412,124.80273
EGY,30.04716,31.23681,31.94659,28.03267
NGA,6.51849,3.37778,3.78639,4.675604
BRA,-15.793889,-47.88209,-14.10436,-35.3512
COL,4.84121,-74.06554,4.62252,-79.65449
PER,-12.05371,-77.03313,-12.41458,-80.47043
CHL,-33.43921,-70.6658,-27.73469,-74.14178
