country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,technology_capacity
NG,KE,,,37.8,0.0,,RE_PV_Rooftop_Lim_[KE],0.0
NG,KE,,,37.8,0.2,,RE_PV_Openfield_Lim_[KE],10.3
NG,KE,,,37.8,1.1,,RE_WIND_Onshore_Lim_[KE],22.6
NG,KE,,,37.8,0.0,,RE_WIND_Offshore_Lim_[KE],0.0
NG,KE,,,37.8,0.5,,PP_CO2_[KE],7.2
NG,KE,,,37.8,0.1,,BESS_[KE],6.5
NG,KE,,,37.8,0.1,,EL_to_HTH_[KE],5.7
NG,KE,,,37.8,0.0,,EL_to_NH3_[KE],0.0
NG,KE,,,37.8,0.0,,NH3_Storage_[KE],0.0
NG,KE,,,37.8,0.0,,NH3_to_EL_[KE],0.0
NG,KE,,,37.8,0.0,,NH3_to_HTH_[KE],0.0
NG,KE,,,37.8,0.3,,FF_to_HTH_[KE],5.6
NG,KE,,,37.8,0.0,,EL_Demand_[KE],12.2
NG,KE,,,37.8,0.0,,HTH_Demand_[KE],5.8
NG,KE,,,37.8,0.0,,RE_PV_Rooftop_Lim_[NG],0.0
NG,KE,,,37.8,3.3,,RE_PV_Openfield_Lim_[NG],207.4
NG,KE,,,37.8,8.9,,RE_WIND_Onshore_Lim_[NG],191.2
NG,KE,,,37.8,0.0,,RE_WIND_Offshore_Lim_[NG],0.0
NG,KE,,,37.8,2.6,,PP_CO2_[NG],30.5
NG,KE,,,37.8,2.3,,BESS_[NG],129.3
NG,KE,,,37.8,0.5,,EL_to_HTH_[NG],44.9
NG,KE,,,37.8,0.0,,EL_to_NH3_[NG],0.0
NG,KE,,,37.8,0.0,,NH3_Storage_[NG],0.1
NG,KE,,,37.8,0.0,,NH3_to_EL_[NG],0.0
NG,KE,,,37.8,0.0,,NH3_to_HTH_[NG],0.1
NG,KE,,,37.8,2.7,,FF_to_HTH_[NG],46.3
NG,KE,,,37.8,0.0,,EL_Demand_[NG],91.3
NG,KE,,,37.8,0.0,,HTH_Demand_[NG],47.1
NG,KE,,,9.5,0.0,,RE_PV_Rooftop_Lim_[KE],0.0
NG,KE,,,9.5,0.3,,RE_PV_Openfield_Lim_[KE],19.1
NG,KE,,,9.5,1.3,,RE_WIND_Onshore_Lim_[KE],27.7
NG,KE,,,9.5,0.0,,RE_WIND_Offshore_Lim_[KE],0.0
NG,KE,,,9.5,0.7,,PP_CO2_[KE],6.9
NG,KE,,,9.5,0.1,,BESS_[KE],6.5
NG,KE,,,9.5,0.1,,EL_to_HTH_[KE],5.7
