Type,sizing_constant,sizing_constant_unit,RE_type,set_size,set_number,lifespan,lifespan_units
0,0.6,G$/GWp,PVOUT,24,0,175200,h
1,0.858,G$/GWp,WINDOUT,24,0,175200,h
2,0.3,G$/GWp,PVOUT,24,0,175200,h
3,0.429,G$/GWp,WINDOUT,24,0,175200,h
4,0.848,G$/GWp,PVOUT,24,0,175200,h
5,1.94,G$/GWp,WINDOUT,24,0,175200,h
6,0.816,G$/GWp,PVOUT,24,0,175200,h
7,1.172,G$/GWp,WINDOUT,24,0,175200,h
8,0.9,G$/GWp,PVOUT,24,0,175200,h
9,0.936,G$/GWp,WINDOUT,24,0,175200,h
10,1.32,G$/GWp,PVOUT,24,0,175200,h
11,1.884,G$/GWp,WINDOUT,24,0,175200,h
