Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,0,0,198
1,RE_PV_Rooftop_Lim,0,0,0
2,RE_PV_Openfield_Lim,0,0,0
3,RE_WIND_Onshore_Lim,0,0,0
4,RE_WIND_Offshore_Lim,0,0,0
5,PP_CO2,0,0,0
6,BESS,0,0,0
7,EL_to_HTH,0,0,0
8,EL_to_NH3,0,0,0
9,NH3_Storage,0,0,0
10,NH3_to_EL,0,0,0
11,NH3_to_HTH,0,0,0
12,FF_to_HTH,0,0,0
13,EL_Demand,0,0,0
14,HTH_Demand,0,0,0
15,RE_PV_Rooftop_Lim,1,1,1
16,RE_PV_Openfield_Lim,1,1,1
17,RE_WIND_Onshore_Lim,1,1,1
18,RE_WIND_Offshore_Lim,1,1,1
19,PP_CO2,1,1,1
20,BESS,1,1,0
21,EL_to_HTH,1,1,1
22,EL_to_NH3,1,1,0
23,NH3_Storage,1,1,0
24,NH3_to_EL,1,1,0
25,NH3_to_HTH,1,1,0
26,FF_to_HTH,1,1,1
27,EL_Demand,1,1,1
28,HTH_Demand,1,1,1
29,RE_PV_Rooftop_Lim,2,2,2
30,RE_PV_Openfield_Lim,2,2,2
31,RE_WIND_Onshore_Lim,2,2,2
32,RE_WIND_Offshore_Lim,2,2,2
33,PP_CO2,2,2,2
34,BESS,2,2,0
35,EL_to_HTH,2,2,2
36,EL_to_NH3,2,2,0
37,NH3_Storage,2,2,0
38,NH3_to_EL,2,2,0
39,NH3_to_HTH,2,2,0
40,FF_to_HTH,2,2,2
41,EL_Demand,2,2,2
42,HTH_Demand,2,2,2
43,RE_PV_Rooftop_Lim,6,6,6
44,RE_PV_Openfield_Lim,6,6,6
45,RE_WIND_Onshore_Lim,6,6,6
46,RE_WIND_Offshore_Lim,6,6,6
47,PP_CO2,6,6,6
48,BESS,6,6,0
49,EL_to_HTH,6,6,6
50,EL_to_NH3,6,6,0
51,NH3_Storage,6,6,0
52,NH3_to_EL,6,6,0
53,NH3_to_HTH,6,6,0
54,FF_to_HTH,6,6,6
55,EL_Demand,6,6,6
56,HTH_Demand,6,6,6
57,NH3_Transport,0,1,0
58,EL_Transport,0,1,0
59,NH3_Transport,0,2,0
60,EL_Transport,0,2,0
61,NH3_Transport,0,6,0
62,EL_Transport,0,6,0
63,NH3_Transport,1,2,0
64,EL_Transport,1,2,0
65,NH3_Transport,1,6,0
66,EL_Transport,1,6,0
67,NH3_Transport,2,6,0
68,EL_Transport,2,6,0
